:ID,:LABEL,lemma,annotator,line_id,line_text
221,HUMAN,दनु,4,1,https://archive.org/details/dli.ernet.199817/
222,DANAVA,अश्वग्रीव,4,1,https://archive.org/details/dli.ernet.199817/
223,HUMAN,अश्वपति,4,1,https://archive.org/details/dli.ernet.199817/
224,DEVA,अश्विन द्वय,4,1,https://archive.org/details/dli.ernet.199817/
225,CITY,अश्म,4,1,https://archive.org/details/dli.ernet.199817/
226,LOKA,रसातल,4,1,https://archive.org/details/dli.ernet.199817/
227,HILL,अस्ताचल,4,1,https://archive.org/details/dli.ernet.199817/
229,HUMAN,अष्टावक्र,4,1,https://archive.org/details/dli.ernet.199817/
230,HUMAN,कहोल,4,1,https://archive.org/details/dli.ernet.199817/
231,HUMAN,अमूर्तरजस,4,1,https://archive.org/details/dli.ernet.199817/
232,HUMAN,कुश,4,1,https://archive.org/details/dli.ernet.199817/
233,HUMAN,वैदर्भी,4,1,https://archive.org/details/dli.ernet.199817/
234,HUMAN,अहल्या,4,1,https://archive.org/details/dli.ernet.199817/
235,RISHI,गौतम,4,1,https://archive.org/details/dli.ernet.199817/
236,DEVA,आदित्यगण,4,1,https://archive.org/details/dli.ernet.199817/
237,CITY,आब्रवन्ती,4,1,https://archive.org/details/dli.ernet.199817/
238,TRIBE,आभीर,4,1,https://archive.org/details/dli.ernet.199817/
239,DIRECTION,उत्तरदिशा,4,1,https://archive.org/details/dli.ernet.199817/
240,HUMAN,आयु,4,1,https://archive.org/details/dli.ernet.199817/
242,NYMPH,उर्वशी,4,1,https://archive.org/details/dli.ernet.199817/
243,SEA,इक्षु,4,1,https://archive.org/details/dli.ernet.199817/
244,ISLAND,द्विप,4,1,https://archive.org/details/dli.ernet.199817/
246,RIVER,इक्षुमती,4,1,https://archive.org/details/dli.ernet.199817/
247,TOWN,साङ्काश्य,4,1,https://archive.org/details/dli.ernet.199817/
249,RAKSHASA,वृत्र,4,1,https://archive.org/details/dli.ernet.199817/
250,MONKEY,इन्द्रजानु,4,1,https://archive.org/details/dli.ernet.199817/
251,RAKSHASA,इन्द्रशत्रु,4,1,https://archive.org/details/dli.ernet.199817/
253,COUNTRY,इन्द्रशिरा,4,1,https://archive.org/details/dli.ernet.199817/
254,ELEPHANT,ऐरावत,4,1,https://archive.org/details/dli.ernet.199817/
255,PRAJAPATI,कर्दम,4,1,https://archive.org/details/dli.ernet.199817/
256,KING,इल,4,1,https://archive.org/details/dli.ernet.199817/
257,KINGDOM,बाल्ही,4,1,https://archive.org/details/dli.ernet.199817/
258,RAKSHASA,इल्वल,4,1,https://archive.org/details/dli.ernet.199817/
259,HORSE,उच्चैःश्रवा,4,1,https://archive.org/details/dli.ernet.199817/
260,GOD,सूर्य,4,1,https://archive.org/details/dli.ernet.199817/
261,CITY,उज्जिहान,4,1,https://archive.org/details/dli.ernet.199817/
262,TREE,प्रियक,4,1,https://archive.org/details/dli.ernet.199817/
263,COUNTRY,उत्कल,4,1,https://archive.org/details/dli.ernet.199817/
264,HILL,उद्याचल,4,1,https://archive.org/details/dli.ernet.199817/
265,HUMAN,उदावसु,4,1,https://archive.org/details/dli.ernet.199817/
266,HUMAN,नन्दिवर्धन,4,1,https://archive.org/details/dli.ernet.199817/
267,HUMAN,सुकेतु,4,1,https://archive.org/details/dli.ernet.199817/
268,RAKSHASA,उन्मत्त,4,1,https://archive.org/details/dli.ernet.199817/
269,HUMAN,सुन्दरी,4,1,https://archive.org/details/dli.ernet.199817/
666,RIVER,नर्मदा 2,4,1,https://archive.org/details/dli.ernet.199817/
270,GANDHARVA,नर्मदा 2,4,1,https://archive.org/details/dli.ernet.199817/
418,GANDHARVI,नर्मदा 2,4,1,https://archive.org/details/dli.ernet.199817/
271,DEVA,उपेन्द्र,4,1,https://archive.org/details/dli.ernet.199817/
272,GODDESS,उमा,4,1,https://archive.org/details/dli.ernet.199817/
273,MOUNTAIN,हिमवान्,4,1,https://archive.org/details/dli.ernet.199817/
274,MOUNTAIN,मेरु,4,1,https://archive.org/details/dli.ernet.199817/
275,HUMAN,मेना,4,1,https://archive.org/details/dli.ernet.199817/
276,HUMAN,उर्मिला,4,1,https://archive.org/details/dli.ernet.199817/
277,HUMAN,कुशध्वज,4,1,https://archive.org/details/dli.ernet.199817/
278,MONKEY,उल्का-मुख,4,1,https://archive.org/details/dli.ernet.199817/
279,DEVA,हुताशन,4,1,https://archive.org/details/dli.ernet.199817/
280,HILL,उशीरबीजम्,4,1,https://archive.org/details/dli.ernet.199817/
281,MONKEY,प्रमाथि,4,1,https://archive.org/details/dli.ernet.199817/
282,CAVE,ऋक्ष,4,1,https://archive.org/details/dli.ernet.199817/
283,MONKEY,ऋक्षराज/ऋक्षराट्,4,1,https://archive.org/details/dli.ernet.199817/
284,HILL,ऋक्षवान्,4,1,https://archive.org/details/dli.ernet.199817/
285,RIKSHA,धूम्र,4,1,https://archive.org/details/dli.ernet.199817/
286,RISHI,ऋचीक 1,4,1,https://archive.org/details/dli.ernet.199817/
287,HUMAN,सत्यवती,4,1,https://archive.org/details/dli.ernet.199817/
288,RISHI,विश्वामित्र,4,1,https://archive.org/details/dli.ernet.199817/
289,RISHI,ऋचीक 2,4,1,https://archive.org/details/dli.ernet.199817/
291,SEA,क्षीरसागर,4,1,https://archive.org/details/dli.ernet.199817/
292,MONKEY,विनत,4,1,https://archive.org/details/dli.ernet.199817/
293,RANGE_OF_HILLS,ऋषभ 1,4,1,https://archive.org/details/dli.ernet.199817/
294,GANDHARVA,रोहित,4,1,https://archive.org/details/dli.ernet.199817/
295,KING,ऋषभ 2,4,1,https://archive.org/details/dli.ernet.199817/
296,MONKEY,ऋषभ 3,4,1,https://archive.org/details/dli.ernet.199817/
