:ID,:LABEL,lemma,auto
4082,Naisargika_dhaatu_dosha,सुदुर्गन्ध,
4299,Dhaatu,आयस,
4300,Naisargika_dhaatu_dosha,आयस-धातु-दोष,
4083,Dhaatu,लोह-किट्ट,
3425,Dhaatu,अशुद्ध-लोह,
3426,Nija_roga,षण्ढत्व,
4085,Roga,नानारुजा,
3428,Nija_roga,मद,
3427,Karma,जीवहरण,
3429,Shaariira_kriyaabhaava_pob,शरीर-पाटव,
3430,Roga,हृद्रुजा,
3431,Qualifier,दारुण,
3432,Taila,तिल-तैल,
3433,Prepared_substance,माषान्न,
4084,Substance,मद्य,
3434,Dhaatu,सार-लौह,
3435,Substance,अम्लरस-द्रव्य,
3436,Dhaatu,अम्लरस-द्रव्य-लिप्त-लौह,
4870,Dhaatu,क्षमाभृत्-शिखराकाराणि-अङ्गानि-युक्त-अम्लरस-द्रव्य-लिप्त-लौह,
4871,Svaruupa_property,क्षमाभृत्-शिखराकाराणि-अङ्गानि,
4872,Svaruupa_property,सूक्ष्म-क्षमाभृत्-शिखराकाराणि-अङ्गानि,
3438,Nija_roga,सर्वाङ्ग-वात,
3439,Nija_roga,परिणामशूल,
3440,Nija_roga,अर्द्धवात,
4301,Dhaatu_pariikshaa,यत्पात्रे न प्रसरति जले तैलविन्दुः,
4302,Dhaatu_pariikshaa,प्रतप्ते हिङ्गुः गन्धं त्यजति,
4303,Dhaatu_pariikshaa,प्रतप्ते त्यजति च निजं तिक्ततां निम्बवल्कः,
4088,Dhaatu_pariikshaa,तप्तं दुग्धं भवति शिखराकारकंनैति भूमिं,
3441,Dhaatu,कान्त-लौह,
4089,Dhaatu_pariikshaa,कृष्णाङ्गः स्यात् सजलचणकः कान्तलोहंतदुक्तम्,
3442,Dhaatu,कान्त-अयस्,
3443,Nija_roga,यकृत्-रोग,
3444,Nija_roga,शिरोरुजा,
3445,Yakrit_gpob,यकृत्,
3446,Shaariira_kriyaabhaava_pob,वपुस्-पुष्टि,
3447,Dhaatu,मण्डूर,
4304,Dhaatu,ध्मात-लौह,
3448,Dhaatu,लोहसिंहानिका,
3449,Dhaatu,किट्टी,
3450,Dhaatu,सिंहान,
3451,Upadhaatu,उपधातु,
3452,Upadhaatu,स्वर्णमाक्षिक,
3453,Upadhaatu,तारमाक्षिक,
3454,Upadhaatu,तुत्थ,
3455,Upadhaatu,कांस्य,
3456,Upadhaatu,रीति,
3457,Upadhaatu,सिन्दूर,
3458,Upadhaatu,शिलाजतु,
3459,Upadhaatu,तापीज,
3460,Upadhaatu,मधुमाक्षिक,
3461,Upadhaatu,ताप्य,
3462,Upadhaatu,माक्षिकधातु,
3463,Upadhaatu,मधुधातु,
3464,Roga,बस्तिरुक्,
4094,Naisargika_dhaatu_dosha,कुष्ठ,
4090,Naisargika_dhaatu_dosha,मन्द-अनलत्व,
4091,Naisargika_dhaatu_dosha,बल-हानि,
4092,Naisargika_dhaatu_dosha,उग्र-विष्टम्भ,
4093,Naisargika_dhaatu_dosha,नेत्रगद,
4305,Upadhaatu,अशुद्ध-स्वर्णमाक्षिक,
4095,Naisargika_dhaatu_dosha,व्रणमाला,
3465,Upadhaatu,तारमाक्षिक,
4306,Upadhaatu,अशुद्ध-तारमाक्षिक,
3466,Upadhaatu,वितुन्नक,
3467,Upadhaatu,शिखिग्रीव,
3468,Upadhaatu,मयूरक,
3469,Karma,वामक,
3470,Nija_roga,अश्म,
4096,Upadhaatu,खर्पर,
3471,Upadhaatu,ताम्रत्रपुज,
3472,Upadhaatu,घोष,
3473,Upadhaatu,कंसक,
3474,Substance,कफहर-द्रव्य,
3475,Substance,पित्तहर-द्रव्य,
3476,Upadhaatu,पित्तल,
3477,Upadhaatu,आरकूट,
3478,Upadhaatu,आर,
3479,Upadhaatu,राजरीति,
3480,Upadhaatu,ब्रह्मरीति,
3481,Upadhaatu,कपिला,
3482,Upadhaatu,पिङ्गला,
3483,Upadhaatu,रक्तरेणु,
3484,Upadhaatu,नागगर्भ,
3485,Upadhaatu,सीसज,
3486,Nija_roga,वीसर्प,
3487,Karma,व्रणशोधन,
3488,Karma,व्रणरोपण,
4097,Text,निदाघे घर्मसन्तप्ता धातुसारं धराधराः,
4098,Text,निर्यासवत्प्रमुञ्चन्ति तच्छिलाजतु कीर्त्तितम्,
3489,Upadhaatu,सौवर्ण-शिलाजतु,
3490,Upadhaatu,राजत-शिलाजतु,
3491,Upadhaatu,ताम्र-शिलाजतु,
3492,Upadhaatu,लौह-शिलाजतु,
3493,Upadhaatu,अद्रिजतु,
3494,Upadhaatu,शैलनिर्यास,
3495,Upadhaatu,गैरेय,
3496,Upadhaatu,अश्मज,
3497,Upadhaatu,गिरिज,
3498,Upadhaatu,शैलधातुज,
3501,Nija_roga,शर्करा,
3499,Karma,छेदन,
3500,Karma,योगवहन्,
4099,Property,योगवाहिन्,
3502,Nija_roga,वात-अर्श,
3504,Nija_roga,उन्माद,
3503,Nija_roga,अपस्मार,
3505,Substance,जपा,
3506,Flower,जपा-पुष्प,
3507,Varna_property,पाण्डुर,
3508,Kantha_gpob,मयूर-कण्ठ,
3509,Bird,जटायु,
3510,Rasa,पारद,
3511,Rasa,रस,
4307,Dhaatu_kathaa,शिवाङ्गात्प्रच्युतं रेतः पतितं धरणीतले तद्देहसारजातत्वाच्छुक्लमच्छमभूच्च तत्,
3512,Rasa,शिववीर्य,
3513,Rasa,श्वेत-पारद,
3514,Rasa,रक्त-पारद,
3515,Rasa,पीत-पारद,
3516,Rasa,कृष्ण-पारद,
4308,Rasa,ब्राह्मण-पारद,
4309,Rasa,क्षत्रिय-पारद,
4310,Rasa,वैश्य-पारद,
4311,Rasa,शूद्र-पारद,
4313,Purpose_of_use,रसायन,
4312,Purpose_of_use,रुजा-नाश,
4314,Purpose_of_use,धातुवाद,
4315,Purpose_of_use,ख-गति,
3520,Rasa,चपल,
3517,Rasa,रसधातु,
3518,Rasa,रसेन्द्र,
3519,Rasa,महारस,
3521,Rasa,चपल,
3523,Rasa,रस,
3522,Rasa,शिववीर्य,
3524,Rasa,सूत,
3525,Qualifier,महत्,
3526,Shaariira_kriyaabhaava_pob,दृष्टिबल,
4102,Roga,आमय,
3528,State_of_substance,बद्ध,
3527,State_of_substance,स्वस्थ,
3529,Rasa,स्वस्थ-रस,
3530,Rasa,बद्ध-रस,
3531,State_of_substance,रञ्जित,
3532,Rasa,रञ्जित-रस,
3533,Rasa,कामित-रस,
3534,State_of_substance,कामित,
3535,State_of_substance,मूर्च्छित,
3536,Rasa,मूर्च्छित-रस,
3537,Rasa,मृत-पारद,
4316,Karma,अजरीकरण,
3538,State_of_disease,असाध्य,
3539,Roga,असाध्य-रोग,
3540,Roga,कुञ्जर-रोग,
3541,Roga,वाजि-रोग,
3542,Roga,असाध्य-वाजि-रोग,
3543,Roga,असाध्य-कुञ्जर-रोग,
3544,Animal,कुञ्जर,
4319,Naisargika_dhaatu_dosha,वह्नि,
4318,Naisargika_dhaatu_dosha,विष,
4317,Naisargika_dhaatu_dosha,मल,
4320,Naisargika_dhaatu_dosha,गिरित्व,
4321,Naisargika_dhaatu_dosha,चापल,
4873,Upaadhija_dhaatu_dosha,नागयोग,
4874,Upaadhija_dhaatu_dosha,त्रपुयोग,
4322,Naisargika_dhaatu_dosha,अग्नि,
4323,Roga,कष्टतर-शरीर-दाह,
4324,Roga,देह-जाड्य,
4325,Dhatu_pob,पुं-वीर्य,
4878,Dhaatu_dosha,पारद-धातु-दोष,
4879,Dhaatu_dosha,धातु-दोष,
4326,Roga,सन्ताप,
3545,Rasa,संस्कारहीन-पारद,
3546,Karma,देहनाश,
4875,Roga,कष्टयुक्त-रोग,
3551,Uparasa,शिला,
3547,Uparasa,गन्ध,
3548,Uparasa,हिङ्गुल,
3549,Uparasa,अभ्र,
3550,Uparasa,तालक,
3552,Uparasa,स्रोतोऽञ्जन,
3553,Uparasa,टङ्कण,
3554,Uparasa,उपरस,
3558,Uparasa,शङ्ख,
3555,Uparasa,राजावर्तक,
3556,Uparasa,चुम्बक,
3557,Uparasa,स्फटिक,
3559,Uparasa,खटी,
3560,Uparasa,गैरिक,
3561,Uparasa,कासीस,
3562,Uparasa,रसक,
3563,Uparasa,कपर्द,
3564,Uparasa,सिकता,
3565,Uparasa,बोल,
3567,Uparasa,कुङ्कुष्ठक,
3568,Uparasa,सौराष्ट्री,
3569,Uparasa,दरद,
3570,Uparasa,म्लेच्छ,
3571,Uparasa,इङ्गुल,
3572,Uparasa,चूर्णपारद,
3574,Uparasa,शुकतुण्डक-हिङ्गुल,
3576,Uparasa,चर्मार-हिङ्गुल,
3575,Uparasa,हंसपाद-हिङ्गुल,
3577,Flower,जपा-कुसुम,
4876,Yantra,डमरुयन्त्र,
4877,Rasa,हिङ्गुलोत्थ-सूत,
4331,Dhaatu_kathaa,श्वेतद्वीपे पुरा देव्याः क्रीडन्त्या रजसाऽप्लुतम् दुकूलं तेन वस्त्रेण स्नातायाः क्षीरनीरधौ प्रसृतं यद्र जस्तस्माद्गन्धकः समभूत्ततः,
4330,Dhaatu_kathaa,दुकूलं तेन वस्त्रेण स्नातायाः क्षीरनीरधौ प्रसृतं यद्र जस्तस्माद्गन्धकः समभूत्ततः,
3578,Uparasa,गान्धिक,
3579,Uparasa,गन्धपाषाण,
3580,Uparasa,गन्धक,
3581,Uparasa,सौगन्धिक,
3582,Uparasa,बलि,
3583,Uparasa,बलरस,
3584,Uparasa,रक्त-गन्धक,
3585,Uparasa,पीत-गन्धक,
3586,Uparasa,सित-गन्धक,
3587,Uparasa,असित-गन्धक,
3588,Varna_property,असित,
4332,Purpose_of_use,हेमक्रिया,
3589,Karma,व्रणलेपन,
3590,Uparasa,श्वेत-गन्धक,
3591,Uparasa,कृष्ण-गन्धक,
3592,Uparasa,अशुद्ध-गन्धक,
3593,Nija_roga,विषमताप,
3594,Shaariira_kriyaabhaava_pob,सौख्य,
3595,Shaariira_kriyaabhaava_pob,रूप,
4336,Dhaatu_kathaa,पुरा वधाय वृत्रस्य वज्रिणा वज्रमुद्धृतम् विस्फुलिङ्गास्ततस्तस्य गगने परिसर्पिताः ते निपेतुर्घनध्वानाच्छिखरेषु महीभृताम् तेभ्य एव समुत्पन्नं तत्तद्गिरिषु चाभ्रकम्,
3596,Uparasa,वज्र,
3597,Uparasa,अभ्रक,
3598,Uparasa,गगन,
3599,Uparasa,विप्र-अभ्रक,
3600,Uparasa,क्षत्रिय-अभ्रक,
3601,Uparasa,विट्-अभ्रक,
3602,Uparasa,शूद्र-अभ्रक,
4880,Uparasa,कृष्ण-अभ्रक,
4881,Uparasa,पीत-अभ्रक,
4882,Uparasa,रक्त-अभ्रक,
4883,Uparasa,सित-अभ्रक,
4337,Purpose_of_use,तारक्रिया,
3603,Roga,गद,
4338,Purpose_of_use,गद-चिकित्सा,
4884,Qualifier,द्रुत,
3604,Uparasa,पिनाक-अभ्रक,
3605,Uparasa,दर्दुर-अभ्रक,
3606,Uparasa,नाग-अभ्रक,
3607,Uparasa,वज्र-अभ्रक,
4339,Dhaatu_pariikshaa,मुच्चत्यग्नौ विनिक्षिप्तं दलसञ्चयम्,
3608,Nija_roga,महाकुष्ठ,
4340,Dhaatu_pariikshaa,अग्निनिक्षिप्तं कुरुते दुर्दरध्वनिम्,
3609,Roga,गोलक,
4341,Dhaatu_pariikshaa,नागवद्बह्वौ फूत्कारं परिमुञ्चति,
4342,Dhaatu_pariikshaa,वज्रवत्तिष्टेत्तन्नाग्नौ विकृतिं व्रजेत्,
3610,Roga,व्याधि,
3611,State_of_life_cycle,वार्धक्य,
3612,Uparasa,उत्तर-शैलोत्थ-अभ्रक,
4343,Location,उत्तर-शैल,
3613,Uparasa,दक्षिण-अद्रिभव-अभ्रक,
4885,Location,दक्षिण-अद्रि,
4886,Lakshana_property,सत्व,
4887,Lakshana_property,बहु-सत्व,
4888,Lakshana_property,अल्प-सत्व,
3615,Qualifier,वि,
3614,Uparasa,मृत-अभ्रक,
3616,Nija_roga,ग्रन्थि,
3618,Karma,वपुस्-दार्ढ्य,
4889,Text,तारुण्याढ्यं रमयति शतं योषितां नित्यमेव,
4890,Text,तारुण्याढ्यं रमयति शतं योषितां नित्यमेव दीर्घायुष्काञ्जनयति सुतान्विक्रमैः सिंहतुल्यान् मृत्योर्भीतिं हरति सततं सेव्यमानं मृताभ्रम्,
4345,Uparasa,अशुद्ध-अभ्रक,
4346,Roga,विविध-पीडा,
4347,Nija_roga,पाण्डुगद,
4348,Roga,हृत्-पीडा,
4349,Roga,पार्श्व-पीडा,
4350,Uparasa,असम्यक्-मारित-अभ्रक,
3622,Uparasa,तालक,
3619,Uparasa,हरिताल,
3620,Uparasa,ताल,
3621,Uparasa,आल,
3623,Uparasa,पत्र-हरिताल,
3624,Uparasa,पिण्ड-हरिताल,
4351,Shaariira_kriyaabhaava_pob,स्त्री-पुष्प,
3625,Kesha_gpob,कच,
4352,Uparasa,अशुद्ध-हरिताल,
4353,Shaariira_kriyaabhaava_pob,देह-चारुता,
4354,Roga,ताप,
4355,Roga,अङ्गसङ्कोचपीडा,
3626,Uparasa,मनोगुप्ता,
3627,Uparasa,मनोह्वा,
3628,Uparasa,नागजिह्विका,
3630,Uparasa,मनःशिला,
3634,Uparasa,शिला,
3631,Uparasa,नैपाली,
3632,Uparasa,कुनटी,
3633,Uparasa,गोला,
3635,Uparasa,दिव्यौषधि,
3636,Aagantuja_roga,भूत,
4356,Uparasa,अशुद्ध-मन:शिला,
4357,Roga,मल-अनुबन्ध,
4358,Roga,मूत्रशर्करा,
3637,Uparasa,अञ्जन,
3638,Uparasa,यामुन,
3639,Uparasa,कापोताञ्जन,
3640,Uparasa,सौवीर-अञ्जन,
3641,Uparasa,स्रोतः-अञ्जन,
4891,Dhaatu_pariikshaa,भिन्ने-अञ्जनसन्निभ,
4892,Dhaatu_pariikshaa,वल्मीकशिखराकार,
4893,Dhaatu_pariikshaa,घृष्टे-गैरिकाकार,
3642,Nija_roga,सिध्म,
3643,Manner_of_consumption,शीत-सेवन,
3644,Uparasa,टङ्कण,
3645,Uparasa,स्फटिका,
3646,Uparasa,स्फटी,
3647,Uparasa,श्वेता,
3648,Uparasa,शुभ्रा,
3649,Uparasa,रङ्गदा,
3650,Uparasa,दृढरङ्गा,
3652,Uparasa,रङ्गाङ्गा,
3653,Uparasa,रङ्गदृढा,
3654,Nija_roga,श्वित्र,
3655,Karma,योनिसङ्कोच,
3656,Uparasa,राजावर्त,
3657,Uparasa,नृपावर्त,
3658,Uparasa,राजन्यावर्तक,
3659,Uparasa,आवर्तमणि,
3660,Uparasa,आवर्त,
3661,Uparasa,चुम्बक,
3662,Uparasa,कान्तपाषाण,
3663,Uparasa,अयस्कान्त,
3664,Uparasa,लोहकर्षक,
3668,Uparasa,गैरेय,
3669,Uparasa,गिरिज,
3666,Uparasa,गैरिक,
3667,Uparasa,रक्तधातु,
3670,Uparasa,सुवर्णगैरिक,
3674,Uparasa,खटी,
3671,Uparasa,खटिका,
3672,Uparasa,कठिनी,
3673,Uparasa,लेखनी,
4359,Uparasa,लेपित-खटी,
4360,Purpose_of_use,लेपन,
4894,Karma_treatment,लेपन,
3675,Uparasa,गौरखटी,
3678,Uparasa,शर्करा,
3677,Uparasa,सिकता,
3676,Uparasa,वालुका,
3679,Uparasa,रेतजा,
3682,Uparasa,रसक,
3680,Uparasa,खर्परी,
3681,Uparasa,तुत्थक,
3683,Uparasa,काशीश,
3684,Uparasa,धातुकाशीश,
3685,Uparasa,पांशुकाशीश,
3686,Uparasa,पुष्पकाशीश,
3688,Uparasa,तुवरी,
3687,Uparasa,सौराष्ट्री,
3689,Uparasa,काली,
3690,Uparasa,मृत्तालक,
3691,Uparasa,सुराष्ट्रजा,
3692,Uparasa,आढकी,
3693,Uparasa,मृत्स्ना,
3694,Uparasa,सुरमृत्तिका,
3699,Uparasa,मृत्स्ना,
3695,Uparasa,कृष्णमृत्तिका,
3696,Uparasa,मृत्,
3697,Uparasa,मृदा,
3698,Uparasa,मृत्तिका,
3700,Uparasa,क्षेत्रजा,
3701,Uparasa,कृष्णमृत्,
3702,Nija_roga,क्षत,
3703,Nija_roga,अस्रप्रदर,
3708,Uparasa,मल,
3704,Uparasa,पङ्क,
3705,Uparasa,जलकल्क,
3706,Uparasa,चुलुक,
3707,Uparasa,कर्दम,
3710,Uparasa,पलित,
3712,Uparasa,पलल,
3709,Uparasa,चिकिल,
3711,Uparasa,द्राप,
3713,Uparasa,निषद्वर,
3714,Uparasa,कपर्दक,
3715,Uparasa,वराट,
3716,Uparasa,कपर्दी,
3717,Uparasa,वराटिका,
3718,Roga,कर्णस्राव,
3719,Roga,अग्निमांद्य,
3720,Uparasa,शङ्ख,
3721,Uparasa,समुद्रज,
3722,Uparasa,कम्बु,
3723,Uparasa,सुनाद,
3724,Uparasa,पावनध्वनि,
3728,Uparasa,पिण्ड,
3725,Uparasa,बोल,
3726,Uparasa,गन्धरस,
3727,Uparasa,प्राण,
3729,Uparasa,गोपरस,
3730,Karma,गर्भाशयशोधन,
3731,Location,हिमवत्पादशिखर,
3732,Uparasa,कङ्कुष्ठ,
3733,Uparasa,रक्तकाल-कङ्कुष्ठ,
3735,Uparasa,अण्डक-कङ्कुष्ठ,
3736,Text,त्यक्तसत्व,
3737,Uparasa,कङ्कुष्ट,
3738,Uparasa,काककुष्ठ,
3739,Uparasa,विरङ्ग,
3740,Uparasa,कोलकाकुल,
3741,Text,धनार्थिनो जनाःसर्वे रमन्तेऽस्मिन्नतीव यत्,
3742,Ratna,रत्न,
3743,Ratna,मणि,
3744,Ratna,गारुत्मत,
3745,Ratna,पुष्पराग,
3746,Ratna,माणिक्य,
3747,Ratna,इन्द्रनील,
3748,Ratna,गोमेद,
3749,Ratna,वैदूर्य,
3750,Ratna,मौक्तिक,
3751,Ratna,विद्रुम,
3752,Quantity,नवन्,
3753,Ratna,महारत्न,
3754,Ratna,मुक्ताफल,
3755,Ratna,हीरक,
3756,Ratna,पद्मरागक,
3757,Ratna,नील,
3758,Ratna,प्रवाल,
3760,Ratna,चन्द्र,
3759,Ratna,वज्र,
3761,Ratna,मणिवर,
3764,Varna_property,लोहित,
3762,Ratna,विप्र-हीरक,
3763,Ratna,क्षत्रिय-हीरक,
3765,Ratna,वैश्य-हीरक,
3766,Ratna,शूद्र-हीरक,
3767,Effect_property,सर्व-सिद्धि-प्रदान,
3768,State_of_life_cycle,जरा,
3769,Baahya_prabhaava_property,धनप्रद,
3770,Karma,देह-दार्ढ्य,
3771,Ratna,पुं-हीरक,
3772,Ratna,स्त्री-हीरक,
