:ID,:LABEL,lemma
212,Town,अवन्ती
213,Rakshasa,अविन्ध्य
214,Rakshasa,अशनिप्रभ
215,Monkey,द्विविद
216,Human,अशोक
217,Garden,अशोकवाटिका
218,Human,सीता
219,Rishi,अश्व
220,Residential_place,आश्रम
221,Human,दनु
222,Danava,अश्वग्रीव
223,Human,अश्वपति
224,Deva,अश्विन द्वय
225,City,अश्म
226,Loka,रसातल
227,Hill,अस्ताचल
229,Human,अष्टावक्र
230,Human,कहोल
231,Human,अमूर्तरजस
232,Human,कुश
233,Human,वैदर्भी
234,Human,अहल्या
235,Rishi,गौतम
236,Deva,आदित्यगण
237,City,आब्रवन्ती
238,Tribe,आभीर
239,Direction,उत्तरदिशा
240,Human,आयु
241,King,पुरूपवस्
242,Nymph,उर्वशी
243,Sea,इक्षु
244,Iland,द्विप
246,River,इक्षुमती
247,Town,साङ्काश्य
248,Linage,इक्ष्वाकु
249,Rakshasa,वृत्र
250,Monkey,इन्द्रजानु
251,Rakshasa,इन्द्रशत्रु
253,Country,इन्द्रशिरा
254,Elephant,ऐरावत
255,Prajapati,कर्दम
256,King,इल
257,Kingdom,बाल्ही
258,Rakshasa,इल्वल
259,Horse,उच्चैःश्रवा
260,God,सूर्य
261,City,उज्जिहान
262,Tree,प्रियक
263,Country,उत्कल
264,Hill,उद्याचल
265,Human,उदावसु
266,Human,नन्दिवर्धन
267,Human,सुकेतु
268,Rakshasa,उन्मत्त
269,Human,सुन्दरी
270,Gandharva,नर्मदा 2
271,Deva,उपेन्द्र
272,Goddess,उमा
273,Mountain,हिमवान्
274,Mountain,मेरु
275,Human,मेना
276,Human,उर्मिला
277,Human,कुशध्वज
278,Monkey,उल्का-मुख
279,Deva,हुताशन
280,Hill,उशीरबीजम्
281,Monkey,प्रमाथि
282,Cave,ऋक्ष
283,Monkey,ऋक्षराज/ऋक्षराट्
284,Hill,ऋक्षवान्
285,Riksha,धूम्र
286,Rishi,ऋचीक 1
287,Human,सत्यवती
288,Rishi,विश्वामित्र
289,Rishi,ऋचीक 2
290,Hill,ऋषभ
291,Sea,क्षीरसागर
292,Monkey,विनत
293,Range_of_hills,ऋषभ 1
294,Gandharva,रोहित
295,King,ऋषभ 2
296,Monkey,ऋषभ 3
297,Rakshasa,मत्त
298,Monkey,ऋषभ-स्कन्ध
299,Rakshasa,इन्द्रजित्
300,Monkey,ऋषि-पुत्र
301,Country,ऋष्टिक
302,Hill,ऋष्यमुख
303,Maharshi,विभाण्डक
304,Rishi,काश्यप
305,Rakshashi,एकजटा
306,Village,एकसाल
307,River,स्थाणुमती
308,Human,इरावती
309,City,ऐलधान
310,Rishi,ओङ्कार
311,Rishi,बुध
312,Riksha,जाम्बवान्
313,Hill,ओषधि पर्वत
314,Monkey,हनूमान्
316,Rishi,कण्डु 1
317,Cow,गौः
318,Maharshi,कण्डु 2
319,Rishi,कण्व
320,Human,कद्रु
321,Human,क्रोधवशा
322,Place,कनखल
323,Deva,कन्दर्प
324,Deva,कामदेव
325,Deva,शङ्कर
326,Rakshasa,कपट
327,Incarnation,कपिल
328,Human,पुत्राः
329,River,कपीवती
330,Rakshasa,कबन्ध
331,Tribe,शबरी
332,Rakshasa,कम्पन
333,Rakshasa,करवीराक्ष
334,Rakshasa,खर
335,Rakshasa,कराल
336,City,कारुष
337,Rakshashi,ताटका
338,Rakshasa,मारीच
340,Rakshashi,कला
341,Town,कलिङ्ग 1
342,Town,कलिङ्ग 2
343,Class_of_daityas,कवचगण
344,Rishi,कवष
346,Yajna,अश्वमेध
347,Human,काकुत्स्थ
348,City,विशाला
